Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,tweet_cleaned,class_label
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,   As a woman you shouldn't complain about cleaning up your house.  as a man you should always take the trash out...,neither
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,   boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place,offensive language
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,   Dawg   You ever fuck a bitch and she start to cry? You be confused as shit,offensive language
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,    she look like a tranny,offensive language
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,   The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,offensive language
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",""" The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes """,offensive language
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",""" I can not just sit up and HATE on another bitch .. I got too much shit going on""",offensive language
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;, cause I'm tired of you big bitches coming for us skinny girls,offensive language
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that ""","""  you might not get ya bitch back  thats that """,offensive language
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch","""  hobbies include fighting Mariam""

bitch",offensive language
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",offensive language
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,""" Murda Gang bitch its Gang Land """,offensive language
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",""" So hoes that smoke are losers ? "" yea ... go on IG",offensive language
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,""" bad bitches is the only thing that i like """,offensive language
14,3,1,2,0,1,""" bitch get up off me """,""" bitch get up off me """,offensive language
15,3,0,3,0,1,""" bitch nigga miss me with it """,""" bitch nigga miss me with it """,offensive language
16,3,0,3,0,1,""" bitch plz whatever """,""" bitch plz whatever """,offensive language
17,3,1,2,0,1,""" bitch who do you love """,""" bitch who do you love """,offensive language
18,3,0,3,0,1,""" bitches get cut off everyday B """,""" bitches get cut off everyday B """,offensive language
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,""" black bottle  a bad bitch """,offensive language
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,""" broke bitch cant tell me nothing """,offensive language
21,3,0,3,0,1,""" cancel that bitch like Nino """,""" cancel that bitch like Nino """,offensive language
22,3,0,3,0,1,""" cant you see these hoes wont change """,""" cant you see these hoes wont change """,offensive language
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up",offensive language
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",""" got ya bitch tip toeing on my hardwood floors "" ",offensive language
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",""" her pussy lips like Heaven doors "" ",offensive language
26,3,0,3,0,1,""" hoe what its hitting for """,""" hoe what its hitting for """,offensive language
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",""" i met that pussy on Ocean Dr . i gave that pussy a pill "" ",offensive language
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,""" i need a trippy bitch who fuck on Hennessy """,offensive language
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,""" i spend my money how i want bitch its my business """,offensive language
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,""" i txt my old bitch my new bitch pussy wetter """,offensive language
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",""" i'd say im back to the old me but my old bitches would get excited "" ",offensive language
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,""" if you aint bout that Murder Game pussy nigga shut up """,offensive language
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,""" if you're toes ain't done you pussy stinks """,offensive language
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,offensive language
35,3,0,3,0,1,""" is that ya bitch """,""" is that ya bitch """,offensive language
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,""" it aint nothing to cut a bitch off """,offensive language
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",""" jus meet son now he ya mane ass bitches "" #Shots",offensive language
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,""" lames crying over hoes thats tears of a clown """,offensive language
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,""" like Snoop said in 94 we dont love these hoes """,offensive language
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,""" momma said no pussy cats inside my doghouse """,neither
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",""" most hated but the hoes favorite "" #2MW #SevenOne #",offensive language
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick""",offensive language
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",""" pimps up pimps up hoes down "" Future voice",offensive language
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,""" post a picture of that pussy get 200 likes """,offensive language
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",""" pussy is a powerful drug ""  #HappyHumpDay",offensive language
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,""" quick piece of pussy call it a drive by """,offensive language
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,""" running round here like some brand new pussy thats bout to get fucked """,offensive language
